ID	MasterID
DominicanRepublic	I16176
DominicanRepublic	I14990
DominicanRepublic	I16173
DominicanRepublic	I16178
DominicanRepublic	I15112
DominicanRepublic	I15106
DominicanRepublic	I14994
DominicanRepublic	I15105
DominicanRepublic	I13190
DominicanRepublic	I15665
DominicanRepublic	I13203
DominicanRepublic	I13189
DominicanRepublic	I15966
DominicanRepublic	I18300
DominicanRepublic	I15587
DominicanRepublic	I15666
DominicanRepublic	I18301
DominicanRepublic	I7973
DominicanRepublic	I8547
DominicanRepublic	I15050
DominicanRepublic	I15975
DominicanRepublic	I15051
DominicanRepublic	I15677
DominicanRepublic	I16539
DominicanRepublic	I15081
DominicanRepublic	I15592
DominicanRepublic	I16180
DominicanRepublic	I15672
DominicanRepublic	I16172
DominicanRepublic	I15594
DominicanRepublic	I15590
DominicanRepublic	I15604
DominicanRepublic	I15598
DominicanRepublic	I15970
DominicanRepublic	I16540
DominicanRepublic	I16520
DominicanRepublic	I7976
DominicanRepublic	I16174
DominicanRepublic	I7972
DominicanRepublic	I15968
DominicanRepublic	I16519
DominicanRepublic	I15968
DominicanRepublic	I15968
DominicanRepublic	I16687
DominicanRepublic	I18437
DominicanRepublic	I15978
DominicanRepublic	I15678
DominicanRepublic	I15679
DominicanRepublic	I15593
DominicanRepublic	I15969
DominicanRepublic	I20527
DominicanRepublic	I20527
DominicanRepublic	I20527
DominicanRepublic	I7974
DominicanRepublic	I15977
DominicanRepublic	I7968
DominicanRepublic	I15976
DominicanRepublic	I18134
DominicanRepublic	I15682
DominicanRepublic	I16171
DominicanRepublic	I15596
DominicanRepublic	I15599
DominicanRepublic	I15675
DominicanRepublic	I15671
DominicanRepublic	I15964
DominicanRepublic	I15965
DominicanRepublic	I16556
DominicanRepublic	I17906
DominicanRepublic	I8121
DominicanRepublic	I8122
DominicanRepublic	I12341
DominicanRepublic	I12344
DominicanRepublic	I12347
DominicanRepublic	I12350
DominicanRepublic	I15597
DominicanRepublic	I15602
DominicanRepublic	I17903
DominicanRepublic	I15600
DominicanRepublic	I15963
DominicanRepublic	I7967
DominicanRepublic	I15601
DominicanRepublic	I7965
DominicanRepublic	I7966
DominicanRepublic	I8550
DominicanRepublic	I15595
DominicanRepublic	I15595
DominicanRepublic	I15595
DominicanRepublic	I8548
DominicanRepublic	I7977
DRCongo	KIN003
DRCongo	NGO001
DRCongo	KIN002
DRCongo	KIN004
DRCongo	MTN001
Egypt	JK2888
Estonia	IVLS09KT
Estonia	ILS01
Estonia	IIf
Estonia	IIIt
Estonia	IIa
Estonia	0LS03
Estonia	IIg
Estonia	VK554
Estonia	VK507
Estonia	VK483
Estonia	VK480
Estonia	VK481
Estonia	VK482
Estonia	VK484
Estonia	VK486
Estonia	VK487
Estonia	VK488
Estonia	VK489
Estonia	VK491
Estonia	VK492
Estonia	VK493
Estonia	VK495
Estonia	VK496
Estonia	VK497
Estonia	VK498
Estonia	VK504
Estonia	VK505
Estonia	VK508
Estonia	VK509
Estonia	VK510
Estonia	VK511
Estonia	VK512
Estonia	VK549
Estonia	VK550
Estonia	VK551
Estonia	VK552
Estonia	VK553
Estonia	VK555
Estonia	VK490
Estonia	VK506
Estonia	VK485
Faroes	VK234
Faroes	VK236
Faroes	VK237
Faroes	VK238
Faroes	VK239
Faroes	VK240
Faroes	VK241
Faroes	VK242
Faroes	VK244
Faroes	VK245
Faroes	VK248
Faroes	VK25
Faroes	VK27
Faroes	VK44
Faroes	VK45
Faroes	VK46
Faroes	VK24
Finland	DA237
Finland	JK1963
Finland	JK1967
Finland	JK1968
Finland	JK1970
Finland	JK2065
Finland	JK2066
Finland	JK2067
FrenchPolynesia	TAP002
FrenchPolynesia	TAP004
FrenchPolynesia	TAP003
Germany	NIEcap9
Germany	NIEcap2
Germany	NIEcap1
Germany	NIEcap10
Germany	NIEcap3
Germany	NIEcap4
Germany	NIEcap3
Germany	NIEcap5
Germany	NIEcap6
Germany	NIEcap3
Germany	NIEcap4
Germany	NIEcap4
Germany	BIM37b
Germany	STR502b
Germany	STR248b
Germany	AED1119
Germany	STR266b
Germany	STR300b
Germany	STR310
Germany	STR355c
Germany	STR360c
Germany	STR480
Germany	STR491
Germany	AED1135b
Germany	AED432b
Germany	STR220c
Germany	AED106
Germany	AED204
Germany	AED249
Germany	AED92b
Germany	STR241
Germany	STR316b
Germany	STR393b
Germany	STR486
Germany	I0564
Germany	AED1108
Germany	STR228
Germany	BIM33
Germany	Alh10
Germany	I0566
Germany	STR535
Germany	Alh3a
Germany	STR328c
Germany	AED125b
Germany	Alh1
Germany	AEHIb
Germany	AED513
Germany	Alh2
Germany	FN2
Greenland	VK189
Greenland	VK191
Greenland	VK74
Greenland	VK190
Greenland	VK78
Greenland	VK77
Greenland	VK76
Greenland	VK179
Greenland	VK180
Greenland	VK182
Greenland	VK183
Greenland	VK184
Greenland	VK185
Greenland	VK186
Greenland	VK193
Greenland	VK513
Greenland	VK75
Greenland	VK11
Greenland	VK1
Greenland	VK6
Greenland	VK9
Greenland	VK187
Greenland	VK196
Guadeloupe	ALG003
Guadeloupe	ALG004
Guadeloupe	ALG001
Guadeloupe	ALG002
Haiti	I12576
Haiti	I12575
Hungary	DA199
Hungary	AV2
Hungary	AV1
Hungary	SZ43
Hungary	SZ37
Hungary	SZ12
Hungary	SZ14
Hungary	SZ16
Hungary	SZ18
Hungary	SZ20
Hungary	SZ22
Hungary	SZ23
Hungary	SZ24
Hungary	SZ25
Hungary	SZ28
Hungary	SZ30
Hungary	SZ31
Hungary	SZ32
Hungary	SZ35
Hungary	SZ38
Hungary	SZ40
Hungary	SZ41
Hungary	SZ42
Hungary	SZ44
Hungary	SZ6
Hungary	SZ7
Hungary	SZ8
Hungary	SZ9
Hungary	SZ11
Hungary	SZ15
Hungary	SZ2
Hungary	SZ36
Hungary	SZ3
Hungary	SZ45
Hungary	SZ4
Hungary	SZ5
Hungary	SZ19
Hungary	SZ13
Hungary	SZ27
Hungary	HUN001
Iceland	KOV-A2
Iceland	FOV-A1
Iceland	TSK-A26
Iceland	VK101
Iceland	VK102
Iceland	VK110
Iceland	VK111
Iceland	VK122
Iceland	VK123
Iceland	VK225
Iceland	VK226
Iceland	VK227
Iceland	VK228
Iceland	VK230
Iceland	VK95
Iceland	VK98
Iceland	VK99
Iceland	TGS-A1
Iceland	DAV-A9
Iceland	KNS-A1
Iceland	DAV-A8
Iceland	ORE-A1
Iceland	STT-A2
Iceland	VDP-A5
Iceland	VDP-A6
Iceland	VDP-A7
Iceland	VK127
Iceland	VK128
Iceland	VK129
Iceland	FSS-A1
Iceland	GRS-A1
Iceland	GTE-A1
Iceland	HSJ-A1
Iceland	MKR-A1
Iceland	NNM-A1
Iceland	NTR-A2
Iceland	SBT-A1
Iceland	SVK-A1
Iceland	YGS-B2
Iceland	DKS-A1
Iceland	SSG-A2
Iceland	SSG-A3
Iceland	SSG-A4
Iceland	SSJ-A2
India	Andaman
India	I3345
India	I3348
India	I6936
India	I3403
India	I2870
India	I6939
India	I3404
India	I3350
India	I6947
India	I2869
India	I6935
India	I3401
India	I6937
India	I3405
India	I6940
India	I6941
India	I2868
India	I7035
