ID	MasterID
Argentina	I12376
Armenia	RISE397
Armenia	RISE407
Armenia	RISE396
Armenia	RISE412
Armenia	RISE408
Armenia	DA31
Armenia	RISE423
Armenia	DA35
Armenia	I1656
Armenia	RISE416
Armenia	RISE413
Brazil	I9057
Brazil	I9058
Brazil	Enoque65
Bulgaria	I5769
Bulgaria	I2163
Cameroon	I10873
Cameroon	I10873
Cameroon	I10874
China	M820
China	M012
China	M4
China	F004
China	M8R1
China	M15-1
China	M15-2
China	X3
China	M819
China	M010
China	M827
China	NE61
China	LGM41
China	HJTW13
China	HJTM115
China	LGM79
China	91KLH11
China	91KLM2
China	91KLH18
China	JXNTM2
China	JXNTM23
China	EDM124
China	EDM139
China	EDM176
China	LJM14
China	LJM25
China	LJM2
China	LJM4
China	LJM5
China	WD-WT5M2
China	HJTM109
China	PLTM313
China	PLTM312
China	HJTM107
Croatia	I3313
Croatia	I4332
Croatia	I4331
Cuba	GUY001
Cuba	GUY002
Cuba	CIP009
Cuba	CAO020
Cuba	CAO015
Cuba	CAO018
Cuba	CAO019
CzechRepublic	DA112
CzechRepublic	DA111
CzechRepublic	I7949
CzechRepublic	VLI053
CzechRepublic	PMI012
CzechRepublic	MIB034
CzechRepublic	MIB038
CzechRepublic	VLI051
CzechRepublic	KO1007
CzechRepublic	MIB016
CzechRepublic	MIB065
CzechRepublic	MIB087
CzechRepublic	I4892
CzechRepublic	MIB068
CzechRepublic	I4884
CzechRepublic	MIB049
CzechRepublic	MIB011
CzechRepublic	MIB053
CzechRepublic	MIB056
CzechRepublic	MIB013
CzechRepublic	MIB058
CzechRepublic	MIB002
CzechRepublic	MIB061
CzechRepublic	MIB005
CzechRepublic	MIB039
CzechRepublic	MIB004
CzechRepublic	MIB015
CzechRepublic	MIB082
CzechRepublic	BNL010
CzechRepublic	MIB009
CzechRepublic	MIB041
CzechRepublic	MIB055
CzechRepublic	KO1015
CzechRepublic	MIB012
CzechRepublic	VLI042
CzechRepublic	MIB018
CzechRepublic	MIB033
