ID	MasterID
Afghanistan	Darra.I.Kur
Argentina	I12362
Armenia	I1633
Armenia	I1635
Armenia	I1658
Armenia	ARM002
Armenia	ARM002
Armenia	ARM001
Armenia	I1407
Azerbaijan	ALX002
Brazil	MOS001
Bulgaria	Bul6
Bulgaria	Bul8
Bulgaria	I2510
Bulgaria	Bul4
Bulgaria	I2165
Bulgaria	I12835
Bulgaria	I2175
Bulgaria	I2176
Bulgaria	I2520
Canada	CK-13
Canada	19651
Chile	I1753
Chile	A460
China	L5698
China	L5701
China	L5705
China	L7415
China	L5696
China	L5706
China	L7417
China	L5692
China	L5700
China	L5704
China	SuogangB1
China	SuogangB3
China	L5703
China	AH117_18R21266
China	18R21262
China	18R21265
China	S118
China	S120_18R21267
China	S123
China	S91
China	S94
China	S95
China	S96
China	S97
China	PLTM311
China	SM-M27
China	SM-M7X
China	PLTM310
China	JCKM1-1
China	LJM3
China	WD-WT1H16
China	SM-M6
China	BLSM45
China	BLSM27S
China	BLSM41
China	MZGM10-1
China	MZGM16
China	MZGM25-2
China	WGH35-1
China	WGM20
China	WGM43
China	WGM70
China	WGM76S
China	WGM94
China	HMF32
China	WGM35
Croatia	I2792
Croatia	I3499
Croatia	I4175
Croatia	I5079
CzechRepublic	PMI003
CzechRepublic	I7249
CzechRepublic	PMI004
CzechRepublic	MIB074
CzechRepublic	KNE001
CzechRepublic	PDA001
CzechRepublic	VLI064
CzechRepublic	BNL001
CzechRepublic	I7198
CzechRepublic	MIB084
CzechRepublic	I4888
CzechRepublic	I7199
CzechRepublic	KNE004
CzechRepublic	KNE002
CzechRepublic	PDA004
CzechRepublic	MIS005
CzechRepublic	PDA002
CzechRepublic	KNE006
CzechRepublic	VLI058
CzechRepublic	BNL006
CzechRepublic	BNL007
CzechRepublic	I7210
CzechRepublic	I4887
CzechRepublic	KNE005
CzechRepublic	BNL005
CzechRepublic	I4886
CzechRepublic	I4145
CzechRepublic	I4145
CzechRepublic	PMI001
CzechRepublic	I5037
CzechRepublic	I5042
CzechRepublic	I6476
CzechRepublic	PMI006
CzechRepublic	I4895
CzechRepublic	KO7003
CzechRepublic	I4889
CzechRepublic	I4891
CzechRepublic	PDA003
CzechRepublic	I4139
CzechRepublic	I4139
CzechRepublic	I6468
CzechRepublic	I6480
CzechRepublic	VLI024
CzechRepublic	VLI025
CzechRepublic	VLI026
CzechRepublic	VLI028
CzechRepublic	VLI029
CzechRepublic	VLI030
CzechRepublic	I5514
CzechRepublic	KO1003
CzechRepublic	I4896
CzechRepublic	PDA005
CzechRepublic	KO1004
CzechRepublic	I4885
CzechRepublic	PMI002
CzechRepublic	MIB083
CzechRepublic	I4945
CzechRepublic	HOP002
CzechRepublic	I7211
CzechRepublic	I4946
CzechRepublic	I7281
CzechRepublic	I7271
CzechRepublic	I7282
CzechRepublic	I7283
CzechRepublic	I7214
CzechRepublic	I7205
CzechRepublic	I7251
CzechRepublic	I7250
CzechRepublic	I7269
CzechRepublic	I7270
CzechRepublic	I7275
CzechRepublic	I7276
CzechRepublic	I7279
CzechRepublic	I7280
CzechRepublic	I7287
CzechRepublic	I7288
CzechRepublic	I7290
CzechRepublic	I7286
CzechRepublic	HOP004
CzechRepublic	I7213
CzechRepublic	MIS006
CzechRepublic	HOP001
CzechRepublic	I7212
CzechRepublic	I7195
CzechRepublic	I7196
CzechRepublic	I7200
CzechRepublic	I7201
CzechRepublic	I7202
CzechRepublic	I7203
CzechRepublic	I4136
CzechRepublic	I4130
CzechRepublic	I4136
CzechRepublic	I4141
CzechRepublic	I4130
CzechRepublic	I4890
CzechRepublic	I5666
CzechRepublic	HOP003
CzechRepublic	KOP001
CzechRepublic	KOP002
CzechRepublic	PRU004
CzechRepublic	VLI022
CzechRepublic	I7209
CzechRepublic	CAH010
CzechRepublic	I7289
CzechRepublic	I4947
CzechRepublic	I7208
CzechRepublic	TIS001
CzechRepublic	KO1005
CzechRepublic	PRU001
CzechRepublic	I7278
CzechRepublic	BUT003
CzechRepublic	VLI017
CzechRepublic	KOP003
CzechRepublic	VLI016
CzechRepublic	CAH005
CzechRepublic	BUT002
CzechRepublic	PRU005
CzechRepublic	ZEL001
CzechRepublic	VLI070
CzechRepublic	I7207
CzechRepublic	OBR002
CzechRepublic	KON004
CzechRepublic	PRU003
CzechRepublic	VLI020
CzechRepublic	I13467
CzechRepublic	PRU002
CzechRepublic	TIS002
CzechRepublic	OHR002
CzechRepublic	VLI010
CzechRepublic	STD001
CzechRepublic	VLI019
CzechRepublic	VLI031
CzechRepublic	OBR004
CzechRepublic	KO1002
CzechRepublic	OBR001
CzechRepublic	I6695
CzechRepublic	I6696
CzechRepublic	VLI009
CzechRepublic	RDV001
CzechRepublic	TRM003
CzechRepublic	VLI079
CzechRepublic	PRE001
CzechRepublic	TRM006
CzechRepublic	KON003
CzechRepublic	TRM001
CzechRepublic	VLI075
CzechRepublic	VLI081
CzechRepublic	PNL002
CzechRepublic	VLI085
CzechRepublic	BLS001
CzechRepublic	KON005
CzechRepublic	VLI032
CzechRepublic	VLI033
CzechRepublic	BLS002
CzechRepublic	DRO001
CzechRepublic	KON001
CzechRepublic	TOU001
CzechRepublic	VLI071
CzechRepublic	VLI011
CzechRepublic	VLI067
CzechRepublic	VLI092
CzechRepublic	STD002
CzechRepublic	VLI015
CzechRepublic	VLI088
CzechRepublic	VLI007
CzechRepublic	KO1016
CzechRepublic	VPR001
CzechRepublic	VLI008
CzechRepublic	KO1001
CzechRepublic	VLI090
CzechRepublic	OBR003
CzechRepublic	PNL001
CzechRepublic	STD003
CzechRepublic	TUC006
CzechRepublic	VLI076
CzechRepublic	TUC002
CzechRepublic	TUC001
CzechRepublic	TUC003
CzechRepublic	TUC004
CzechRepublic	TUC005
CzechRepublic	HOL002
CzechRepublic	HOL004
CzechRepublic	I7272
CzechRepublic	BRZ002
CzechRepublic	I7189
CzechRepublic	I7194
CzechRepublic	I6677
CzechRepublic	I14176
CzechRepublic	I7192
CzechRepublic	KOB003
CzechRepublic	KOB004
CzechRepublic	I7188
CzechRepublic	HOL001
CzechRepublic	I7193
CzechRepublic	KOB002
CzechRepublic	KOB007
CzechRepublic	KOB001
CzechRepublic	I7191
CzechRepublic	VLI006
CzechRepublic	KOB005
CzechRepublic	I7186
CzechRepublic	BRZ001
CzechRepublic	I14173
CzechRepublic	I14171
CzechRepublic	I14172
CzechRepublic	I14167
CzechRepublic	I14175
CzechRepublic	I14170
CzechRepublic	I14169
CzechRepublic	I14168
CzechRepublic	I14174
CzechRepublic	I16122
CzechRepublic	I16121
Denmark	RISE42
Denmark	RISE71
Denmark	RISE1280
Denmark	RISE1280
Denmark	RISE1283
Denmark	RISE61
Estonia	kar1
Estonia	Kunila1
Estonia	MA973
Estonia	MA973
Estonia	Sope
Estonia	SOP002
Estonia	Ardu1
Estonia	Ardu2
Estonia	Tamula1
Estonia	Kudruküla3
Estonia	Kudruküla2
Estonia	Tamula3
Ethiopia	I5950
France	PSS4170
France	I3874
France	PIR3116B
France	I1391
France	I1382
France	I1388
France	I1381
France	TU918(SX32)
France	I2575
France	I1390
France	GBVPK
France	I1389
France	CBV95
France	GBVPL
France	TORTC
France	I1392
France	TORTE
France	PEI10
France	PEI2
France	1H04
France	1H13
France	MAS15
France	TORTD
France	ROUQEE
France	1H06
France	2H17
France	ROUQV
France	1H14
France	2HC51961131
France	2H11
France	ROUQHH
France	2H06
France	2H10
France	ROUQW
France	1H07
France	ROUQFF
France	2H07
France	ROUQCC
France	PSS4693
France	I4308
France	WET370
France	BERG02-2
France	FLR002
Germany	I0114
Germany	MX275
Germany	FMW
Germany	I0804
Germany	OBKR_47
Germany	OBKR_47
Germany	POST_44
Germany	POST_12
Germany	POST_12
Germany	MX251
Germany	POST_50
Germany	MX288
Germany	HUGO_167
Germany	I0117
Germany	HUGO_190
Germany	HUGO_190
Germany	I0171
Germany	I0113
Germany	HUGO_168
Germany	HUGO_168
Germany	I3599
Germany	I3600
Germany	I3601
Germany	I3602
Germany	I3587
Germany	I3588
Germany	I3589
Germany	I3594
Germany	I3596
Germany	I3597
Germany	I0059
Germany	I3590
Germany	I4249
Germany	WEHR_1192SkA
Germany	I4132
Germany	I4134
Germany	I3604
Germany	I3607
Germany	I4248
Germany	I5014
Germany	I5019
Germany	I5023
Germany	I5519
Germany	I5833
Germany	I5834
Germany	I5835
Germany	I5655
