ID	MasterID
Argentina	I8349
Argentina	I8348
Argentina	I7090
Argentina	I1748
Argentina	I7088
Argentina	I0308
Argentina	I0309
Argentina	I8350
Argentina	I7086
Armenia	I1409
Armenia	I1632
Armenia	I1631
Armenia	I1634
Austria	I5204
Austria	I5205
Austria	I5206
Austria	I5207
Austria	I5208
Austria	I5069
Austria	I5070
Austria	I5068
Austria	I6912
Austria	I6913
Azerbaijan	POT002
Azerbaijan	MTT001
Belize	I5456
Belize	I5457
Brazil	LAR001
Brazil	LAR002
Bulgaria	I2519
Bulgaria	I2424
Bulgaria	I2426
Bulgaria	I2427
Bulgaria	I2509
Bulgaria	I0785
Bulgaria	I2423
Bulgaria	I0781
Bulgaria	ANI153
Bulgaria	I2430
Bulgaria	I2181
Bulgaria	ANI152
Bulgaria	I2425
Bulgaria	ANI160
Bulgaria	merge_ANI159_ANI181
Bulgaria	ANI163
Bulgaria	I2431
Bulgaria	I2526
Bulgaria	I2521
Bulgaria	I3879
Bulgaria	I0700
Bulgaria	I1108
Bulgaria	I1109
Bulgaria	I1113
Bulgaria	I1295
Bulgaria	I1296
Bulgaria	I1297
Bulgaria	I2215
Bulgaria	I2216
Bulgaria	I2529
Bulgaria	I0679
Bulgaria	I1298
Bulgaria	I0704
Bulgaria	I0706
Bulgaria	I0698
Cameroon	I10872
Cameroon	I10871
Cameroon	I10871
Cameroon	I10871
Cameroon	I10871
Cameroon	I10871
Canada	XVII-B-939
Chile	Chinchorroi15
Chile	SA5832
China	NE2
China	NE9
China	NE22
China	NE29
China	NE19
China	NE18
China	NE58
China	LD2
China	XJS1309_M7
China	Xiaogao
China	XJS1309_M4
China	XJS1311_M16
China	XW-M1R18
China	WQM4
China	ZLNR-2
Croatia	I10272
Croatia	I10045
Croatia	I10047
Croatia	I10048
Croatia	I10049
Croatia	I10050
Croatia	I10053
Croatia	I10055
Croatia	I10056
Croatia	I10057
Croatia	I10058
Croatia	I10061
Croatia	I10062
Croatia	I10063
Croatia	I10064
Croatia	I10065
Croatia	I10067
Croatia	I10068
Croatia	I10069
Croatia	I10071
Croatia	I10072
Croatia	I10074
Croatia	I10271
Croatia	I10273
Croatia	I10275
Croatia	I10291
Croatia	I10292
Croatia	I10295
Croatia	I10299
Croatia	I10303
Croatia	I10046
Croatia	I10054
Croatia	I10070
Croatia	I10274
Croatia	I10294
Croatia	I10297
Croatia	I10293
Croatia	I10052
Croatia	I5078
Croatia	I4168
Croatia	I4167
Croatia	I5077
Croatia	I5072
Croatia	I5071
Croatia	I3498
Croatia	I3433
Croatia	I3947
Croatia	I3948
CzechRepublic	I7187
CzechRepublic	NER001
CzechRepublic	TUC007
CzechRepublic	VLI004
CzechRepublic	I4893
CzechRepublic	I4894
CzechRepublic	I7197
CzechRepublic	kol002
CzechRepublic	kol006
Estonia	Kivisaare3
Estonia	Veibri4
France	BERG157-2
France	BLP10
France	GRG032
France	BERG157-7
France	PRI005
France	PRI006
France	PRI001
France	BUCH2
France	CRE20D
France	Pir4
France	FLR005
France	FLR007
France	FLR010
France	FLR013
France	FLR003
France	OBN007
France	OBN009
France	GRG016
France	FLR001
France	FLR014
France	GRG003
France	GRG008
France	GRG015
France	GRG019
France	GRG021
France	GRG022
France	GRG023
France	GRG025
France	GRG035
France	GRG041
France	GRG043
France	GRG047
France	GRG050
France	GRG052
France	GRG056
France	Es97-1
France	FLR004
France	OBN004
France	OBN008
France	OBN003
France	OBN011
